Fecha,Unidades,NombreFeriado,EsFestivo,DiaSemana,DiaMes,Mes,Predicciones
2012-09-24,840,,0,0,24,9,790.6714168161373
2012-09-25,1033,,0,1,25,9,1050.660758051125
2012-09-26,1287,,0,2,26,9,1269.3372360389892
2012-09-27,1335,,0,3,27,9,1330.4503749913822
2012-09-28,1415,,0,4,28,9,1477.1010248108719
2012-09-29,422,,0,5,29,9,501.05611965811966
2012-09-30,0,,0,6,30,9,4.798156565656566
2012-10-01,813,,0,0,1,10,683.8757286201607
2012-10-02,1110,,0,1,2,10,713.6043871067078
2012-10-03,1280,,0,2,3,10,1005.823626205008
2012-10-04,1352,,0,3,4,10,1090.3325141022437
2012-10-05,1360,,0,4,5,10,1105.191168012115
2012-10-06,400,,0,5,6,10,322.64808672866474
2012-10-07,10,,0,6,7,10,4.7142320563261375
2012-10-08,1195,,0,0,8,10,833.9956678317037
2012-10-09,1209,,0,1,9,10,981.3479815715837
2012-10-10,1299,,0,2,10,10,1131.6340764006209
2012-10-11,1324,,0,3,11,10,1153.5427308089245
2012-10-12,1275,,0,4,12,10,1156.571296390671
2012-10-13,326,,0,5,13,10,306.21901026942504
2012-10-14,18,,0,6,14,10,7.786913158041591
2012-10-15,0,Día de la raza,1,0,15,10,0.0
2012-10-16,752,,0,1,16,10,897.5356333042598
2012-10-17,1022,,0,2,17,10,1088.2007974651142
2012-10-18,853,,0,3,18,10,1128.2931435384385
2012-10-19,1319,,0,4,19,10,1136.6375821885963
2012-10-20,391,,0,5,20,10,304.56386762788014
2012-10-21,7,,0,6,21,10,2.5116492616365385
2012-10-22,866,,0,0,22,10,777.175316201801
2012-10-23,1057,,0,1,23,10,1013.8753032321372
2012-10-24,1159,,0,2,24,10,1116.740402865489
2012-10-25,1180,,0,3,25,10,1175.9876157273582
2012-10-26,1203,,0,4,26,10,1254.0269568799188
2012-10-27,327,,0,5,27,10,361.3783241758242
2012-10-28,1,,0,6,28,10,1.917514093314093
2012-10-29,828,,0,0,29,10,991.7663628767747
2012-10-30,1281,,0,1,30,10,2037.811124675519
2012-10-31,1195,,0,2,31,10,1800.3927799232933
2012-11-01,1088,,0,3,1,11,845.6617832054299
2012-11-02,1320,,0,4,2,11,855.963787687352
2012-11-03,289,,0,5,3,11,246.91051378460537
2012-11-04,0,,0,6,4,11,0.5321675147467521
2012-11-05,0,Todos los Santos,1,0,5,11,0.0
2012-11-06,875,,0,1,6,11,882.598577448573
2012-11-07,1095,,0,2,7,11,1080.531571555975
2012-11-08,1318,,0,3,8,11,1140.3132795283357
2012-11-09,1361,,0,4,9,11,1161.402550487892
2012-11-10,336,,0,5,10,11,305.0154267955485
2012-11-11,0,,0,6,11,11,0.9549778077713384
2012-11-12,0,Independencia de Cartagena,1,0,12,11,0.10666666666666667
2012-11-13,855,,0,1,13,11,858.7300056466923
2012-11-14,1142,,0,2,14,11,1115.2459015876125
2012-11-15,1205,,0,3,15,11,1139.6905907479043
2012-11-16,1186,,0,4,16,11,1145.2263922649836
2012-11-17,311,,0,5,17,11,286.25793536900875
2012-11-18,1,,0,6,18,11,1.739362731213448
2012-11-19,845,,0,0,19,11,782.1182832609488
2012-11-20,1084,,0,1,20,11,922.8799135396525
2012-11-21,1056,,0,2,21,11,1086.6047904110053
2012-11-22,1135,,0,3,22,11,1137.5355667375604
2012-11-23,1232,,0,4,23,11,1151.0924393384848
2012-11-24,329,,0,5,24,11,309.98688945272374
2012-11-25,1,,0,6,25,11,2.829500851677196
2012-11-26,893,,0,0,26,11,855.1337135575443
2012-11-27,1180,,0,1,27,11,1153.9216599075717
2012-11-28,1323,,0,2,28,11,1616.2764548165014
2012-11-29,1448,,0,3,29,11,1606.7263710164962
2012-11-30,1565,,0,4,30,11,1820.8225562561431
2012-12-01,422,,0,5,1,12,354.79555555555555
2012-12-02,1,,0,6,2,12,2.1693946022671495
2012-12-03,1024,,0,0,3,12,919.1798809523808
2012-12-04,1175,,0,1,4,12,1093.7620468873126
2012-12-05,1587,,0,2,5,12,1411.6884536550947
2012-12-06,1783,,0,3,6,12,1593.6832641594053
2012-12-07,1652,,0,4,7,12,1550.0851621941192
2012-12-08,0,Inmaculada Concepción,1,5,8,12,322.2916354522671
2012-12-09,0,,0,6,9,12,0.6214649141656443
2012-12-10,1238,,0,0,10,12,1144.7077380952385
2012-12-11,1583,,0,1,11,12,1417.530148584544
2012-12-12,1729,,0,2,12,12,1576.177972347549
2012-12-13,1827,,0,3,13,12,1562.47076350405
2012-12-14,1861,,0,4,14,12,1789.0725930541093
2012-12-15,515,,0,5,15,12,476.90658203327075
2012-12-16,0,,0,6,16,12,9.340809341738195
2012-12-17,1192,,0,0,17,12,1363.0730344941212
2012-12-18,1789,,0,1,18,12,1649.7752614721717
